字號,字,韻部,聲調,字母,清濁,寧繼福擬音,url
174,棚,東鍾,陽平,滂,次清,pʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
175,鵬,東鍾,陽平,滂,次清,pʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
176,從,東鍾,陽平,清,次清,tsʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
177,懂,東鍾,上聲,端,全清,tuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
178,董,東鍾,上聲,端,全清,tuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
179,腫,東鍾,上聲,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
180,踵,東鍾,上聲,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
181,種,東鍾,上聲,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
182,冡,東鍾,上聲,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
183,㲨,東鍾,上聲,日,次濁,ɽiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
184,孔,東鍾,上聲,溪,次清,kʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
185,恐,東鍾,上聲,溪,次清,kʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
186,桶,東鍾,上聲,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
187,統,東鍾,上聲,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
188,汞,東鍾,上聲,曉,全清,xuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
189,嗊,東鍾,上聲,曉,全清,xuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663c.png
